asset_id,asset_name,product,cve_id,business_criticality,internet_facing,environment,asset_owner,first_detected_date
AST-0001,Host-0001,FortiOS,CVE-2020-5019,Medium,No,Prod,R&D,2026-02-25
AST-0002,Host-0002,PostgreSQL,CVE-2022-5028,Medium,No,Prod,DevOps,2026-04-05
AST-0002,Host-0002,Software,CVE-2021-5040,Low,No,Prod,DevOps,2026-05-01
AST-0003,Host-0003,kube-apiserver,CVE-2019-5117,High,No,Prod,Data Platform,2026-02-21
AST-0004,Host-0004,FortiOS,CVE-2020-5050,Medium,No,Stage,IT Operations,2026-02-22
AST-0005,Host-0005,Software,CVE-2023-5103,Medium,Yes,Stage,Platform Eng,2026-06-03
AST-0006,Host-0006,Software,CVE-2019-5025,Low,No,Stage,R&D,2026-04-30
AST-0007,Host-0007,kube-apiserver,CVE-2019-5117,High,Yes,Prod,WebOps,2026-02-18
AST-0008,Host-0008,Software,CVE-2024-5027,High,No,Prod,Data Platform,2026-06-04
AST-0009,Host-0009,Software,CVE-2023-5096,High,No,Dev,Partner IT,2026-05-25
AST-0009,Host-0009,MySQL,CVE-2023-5099,High,No,Prod,Partner IT,2026-03-25
AST-0010,Host-0010,nginx,CVE-2019-5063,Medium,Yes,UAT,Email Security,2026-04-26
AST-0011,Host-0011,Software,CVE-2022-5089,High,No,UAT,R&D,2026-02-17
AST-0012,Host-0012,PAN-OS,CVE-2024-3400,Medium,No,Prod,Data Platform,2026-04-04
AST-0013,Host-0013,Software,CVE-2023-5103,Medium,No,UAT,R&D,2026-04-03
AST-0014,Host-0014,PAN-OS,CVE-2024-3400,Low,No,UAT,DBA Team,2026-04-16
AST-0015,Host-0015,kube-apiserver,CVE-2019-5064,Low,Yes,UAT,R&D,2026-05-13
AST-0016,Host-0016,Jira,CVE-2025-5006,Medium,No,Prod,Platform Eng,2026-04-17
AST-0016,Host-0016,Software,CVE-2024-5038,Medium,No,Prod,Platform Eng,2026-05-23
AST-0017,Host-0017,Software,CVE-2021-5108,Medium,No,Dev,API Platform,2026-02-02
AST-0018,Host-0018,Windows Print Spooler,CVE-2021-34527,Medium,No,Prod,DBA Team,2026-02-28
AST-0018,Host-0018,PHP,CVE-2025-5109,High,No,UAT,DBA Team,2026-02-02
AST-0019,Host-0019,Software,CVE-2019-5002,Medium,No,Prod,Mobility Team,2026-03-01
AST-0020,Host-0020,Software,CVE-2024-5118,High,No,Prod,Network Security,2026-06-13
AST-0021,Host-0021,Exchange Server,CVE-2021-26855,Medium,Yes,Prod,Data Platform,2026-04-17
AST-0022,Host-0022,Jira,CVE-2025-5014,Medium,Yes,Prod,Infrastructure,2026-04-07
AST-0022,Host-0022,Software,CVE-2022-22965,High,Yes,Prod,Infrastructure,2026-03-26
AST-0023,Host-0023,vCenter,CVE-2019-5041,Medium,No,Dev,Mobility Team,2026-03-12
AST-0023,Host-0023,IOS XE,CVE-2023-20198,Medium,No,UAT,Mobility Team,2026-01-31
AST-0024,Host-0024,Software,CVE-2020-5116,High,No,Prod,Infrastructure,2026-05-04
AST-0025,Host-0025,Software,CVE-2021-5081,High,Yes,Stage,Payments Eng,2026-05-11
AST-0026,Host-0026,Software,CVE-2019-5113,Low,Yes,Dev,Infrastructure,2026-03-15
AST-0027,Host-0027,Software,CVE-2022-5065,Medium,No,Stage,Platform Eng,2026-02-22
AST-0028,Host-0028,Jira,CVE-2019-5098,High,No,Dev,Mobility Team,2026-05-23
AST-0029,Host-0029,NetScaler ADC,CVE-2023-4966,High,No,Dev,API Platform,2026-05-22
AST-0029,Host-0029,Software,CVE-2019-5094,Medium,No,Prod,API Platform,2026-06-15
AST-0030,Host-0030,PostgreSQL,CVE-2022-5028,High,Yes,Prod,R&D,2026-04-25
AST-0031,Host-0031,NetScaler ADC,CVE-2023-4966,High,No,Prod,HR IT,2026-04-08
AST-0032,Host-0032,Software,CVE-2024-5118,Medium,No,Prod,Data Platform,2026-02-26
AST-0032,Host-0032,Confluence,CVE-2023-22515,Medium,No,Stage,Data Platform,2026-03-02
AST-0033,Host-0033,nginx,CVE-2025-5044,Medium,Yes,Prod,HR IT,2026-04-21
AST-0034,Host-0034,NetScaler,CVE-2022-5042,Medium,Yes,Dev,Infrastructure,2026-03-29
AST-0034,Host-0034,PHP,CVE-2022-5002,Low,Yes,Prod,Infrastructure,2026-06-13
AST-0035,Host-0035,Software,CVE-2025-5071,Medium,Yes,Prod,Network Ops,2026-03-26
AST-0035,Host-0035,Jenkins,CVE-2024-5000,Medium,Yes,Dev,Network Ops,2026-05-24
AST-0036,Host-0036,Software,CVE-2023-5096,High,Yes,UAT,Network Security,2026-03-19
AST-0036,Host-0036,Software,CVE-2020-5056,Low,Yes,Dev,Network Security,2026-02-12
AST-0037,Host-0037,Software,CVE-2021-4034,Medium,No,Prod,DBA Team,2026-04-23
