alert_id,asset_id,alert_type,alert_severity,source_ip,destination_ip,timestamp,signature_name,confidence
IDS-VHS-0001,VHS-0002,Suspicious Web Request,High,45.24.234.200,10.0.0.1,2026-06-20 12:00:00,Outbound Anomaly,High
IDS-VHS-0002,VHS-0021,Brute Force,Critical,45.61.133.156,10.0.0.1,2026-06-20 12:00:00,SQLi Pattern,Low
IDS-VHS-0003,VHS-0021,Suspicious Web Request,High,45.26.77.161,10.0.0.1,2026-06-20 12:00:00,Known Exploit Signature,Low
IDS-VHS-0004,VHS-0018,Exploit Attempt,High,45.121.191.234,10.0.0.1,2026-06-20 12:00:00,SMB Lateral,High
IDS-VHS-0005,VHS-0018,Lateral Movement,Critical,45.36.67.60,10.0.0.1,2026-06-20 12:00:00,Known Exploit Signature,High
IDS-VHS-0006,VHS-0012,Port Scan,Medium,45.78.163.142,10.0.0.1,2026-06-20 12:00:00,SQLi Pattern,Low
IDS-VHS-0007,VHS-0020,Port Scan,High,45.238.56.22,10.0.0.1,2026-06-20 12:00:00,Known Exploit Signature,High
IDS-VHS-0008,VHS-0020,Port Scan,Low,45.225.191.52,10.0.0.1,2026-06-20 12:00:00,Malformed HTTP,Low
IDS-VHS-0009,VHS-0025,Brute Force,Medium,45.94.154.62,10.0.0.1,2026-06-20 12:00:00,SQLi Pattern,Low
IDS-VHS-0010,VHS-0025,Lateral Movement,High,45.145.179.2,10.0.0.1,2026-06-20 12:00:00,Known Exploit Signature,Medium
IDS-VHS-0011,VHS-0025,Brute Force,High,45.88.203.55,10.0.0.1,2026-06-20 12:00:00,SQLi Pattern,Low
IDS-VHS-0012,VHS-0019,Suspicious Web Request,Critical,45.16.29.28,10.0.0.1,2026-06-20 12:00:00,Malformed HTTP,Medium
IDS-VHS-0013,VHS-0015,Exploit Attempt,Critical,45.45.178.165,10.0.0.1,2026-06-20 12:00:00,Known Exploit Signature,Low
IDS-VHS-0014,VHS-0015,Data Exfil Attempt,Medium,45.26.220.152,10.0.0.1,2026-06-20 12:00:00,C2 Beacon,High
IDS-VHS-0015,VHS-0015,Data Exfil Attempt,Medium,45.203.235.183,10.0.0.1,2026-06-20 12:00:00,SQLi Pattern,High
IDS-VHS-0016,VHS-0017,Brute Force,Critical,45.18.244.218,10.0.0.1,2026-06-20 12:00:00,Outbound Anomaly,Low
IDS-VHS-0017,VHS-0016,Lateral Movement,Critical,45.35.203.194,10.0.0.1,2026-06-20 12:00:00,Credential Stuffing,Medium
IDS-VHS-0018,VHS-0016,Malware Callback,High,45.76.6.90,10.0.0.1,2026-06-20 12:00:00,Recon Scan,Medium
IDS-VHS-0019,VHS-0008,Malware Callback,Low,45.206.247.155,10.0.0.1,2026-06-20 12:00:00,SMB Lateral,Medium
IDS-VHS-0020,VHS-0003,Exploit Attempt,Medium,45.17.112.133,10.0.0.1,2026-06-20 12:00:00,Outbound Anomaly,Medium
IDS-VHS-0021,VHS-0003,Lateral Movement,Medium,45.147.145.56,10.0.0.1,2026-06-20 12:00:00,Outbound Anomaly,Low
IDS-VHS-0022,VHS-0001,Suspicious Web Request,High,45.144.52.74,10.0.0.1,2026-06-20 12:00:00,Known Exploit Signature,High
IDS-VHS-0023,VHS-0001,Malware Callback,High,45.135.178.204,10.0.0.1,2026-06-20 12:00:00,Malformed HTTP,Medium
IDS-VHS-0024,VHS-0014,Port Scan,High,45.50.73.209,10.0.0.1,2026-06-20 12:00:00,Credential Stuffing,Low
IDS-VHS-0025,VHS-0013,Suspicious Web Request,Critical,45.172.197.21,10.0.0.1,2026-06-20 12:00:00,SMB Lateral,Low
IDS-VHS-0026,VHS-0009,Data Exfil Attempt,Medium,45.101.25.103,10.0.0.1,2026-06-20 12:00:00,SQLi Pattern,Low
