asset_id,application_name,business_process,business_owner,network_zone,open_ports,firewall_status,vpn_required,asset_type,data_type,pii_present,data_sensitivity,encryption_status,regulatory_impact
AST-0001,App-0001,Knowledge Management,R&D Lead,Internal,6379,Restricted,Yes,Server,Source Code,No,High,Encrypted,High
AST-0002,App-0002,Partner File Exchange,DevOps Lead,Internal,"80,1521,3306",Restricted,Yes,Server,Source Code,No,Medium,Not Encrypted,Low
AST-0003,App-0003,HR Operations,Data Platform Lead,VPN,"3306,8080",Restricted,Yes,Server,Operational Data,No,High,Encrypted,High
AST-0004,App-0004,Identity Management,IT Operations Lead,Internal,443,Restricted,No,Workstation,Source Code,No,Medium,Encrypted,Medium
AST-0005,App-0005,Customer API Services,Platform Eng Lead,Internet,443,Allowed,Yes,Mobile,Operational Data,No,Low,Unknown,None
AST-0006,App-0006,HR Operations,R&D Lead,Internal,"3306,5000",Restricted,Yes,Workstation,Operational Data,No,Low,Encrypted,High
AST-0007,App-0007,Remote Connectivity,WebOps Lead,Internet,"3389,8443",Allowed,No,Network Device,Internal Data,No,Low,Not Encrypted,None
AST-0008,App-0008,Patient Records,Data Platform Lead,Internal,"80,5432",Restricted,Yes,Server,Partner Data,No,Low,Encrypted,Low
AST-0009,App-0009,Partner Management,Partner IT Lead,DMZ,"23,5000",Allowed,No,Server,Payment Data,Yes,Medium,Encrypted,Medium
AST-0010,App-0010,R&D,Email Security Lead,Internet,"80,443",Allowed,Yes,Network Device,Partner Data,Yes,Medium,Encrypted,High
AST-0011,App-0011,Network Connectivity,R&D Lead,Internal,443,Restricted,Yes,Server,Partner Data,Yes,Medium,Not Encrypted,None
AST-0012,App-0012,Remote Connectivity,Data Platform Lead,Internal,"80,443,1433,3306",None,No,Server,Employee Data,No,High,Encrypted,Medium
AST-0013,App-0013,Partner File Exchange,R&D Lead,Internal,80,Restricted,No,Mobile,Internal Data,No,Medium,Encrypted,High
AST-0014,App-0014,Remote Connectivity,DBA Team Lead,Internal,9090,None,No,Network Device,Health Data,No,High,Encrypted,Low
AST-0015,App-0015,Field Operations,R&D Lead,Internet,443,Allowed,Yes,Server,HR Data,Yes,Medium,Encrypted,None
AST-0016,App-0016,R&D,Platform Eng Lead,Internal,"8080,8443",Restricted,Yes,Server,Customer Data,No,High,Encrypted,High
AST-0017,App-0017,Business Intelligence,API Platform Lead,Internal,443,Restricted,No,Network Device,Employee Access Data,Yes,High,Encrypted,High
AST-0018,App-0018,Core Banking,DBA Team Lead,Internal,5000,Restricted,Yes,Server,Operational Data,No,High,Not Encrypted,High
AST-0019,App-0019,Identity Management,Mobility Team Lead,VPN,"445,3306,8080,8443",Restricted,No,Database,HR Data,Yes,High,Not Encrypted,Low
AST-0020,App-0020,Payments,Network Security Lead,Internal,"80,9000",None,Yes,Workstation,Employee Access Data,Yes,High,Unknown,Medium
AST-0021,App-0021,Network Connectivity,Data Platform Lead,Internet,"80,443",Allowed,Yes,Workstation,Internal Data,No,Medium,Unknown,Medium
AST-0022,App-0022,Network Connectivity,Infrastructure Lead,Internet,443,Allowed,No,Network Device,Operational Data,No,Medium,Unknown,None
AST-0023,App-0023,Field Operations,Mobility Team Lead,Internal,"22,23,443",None,No,Server,Payment Data,Yes,High,Encrypted,High
AST-0024,App-0024,Email Security,Infrastructure Lead,Internal,"443,5000",Restricted,Yes,Network Device,Partner Data,Yes,Medium,Not Encrypted,None
AST-0025,App-0025,Knowledge Management,Payments Eng Lead,Internet,"22,443,9000",Allowed,Yes,Server,HR Data,Yes,Medium,Not Encrypted,None
AST-0026,App-0026,Core Banking,Infrastructure Lead,DMZ,"80,8080",Allowed,Yes,Server,Source Code,No,Medium,Not Encrypted,Low
